,Image 1,Image 2,Similarity
1117,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (11 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,0.800654411315918
726,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (3 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (9 of 21).jpg,0.7987060546875
1391,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,0.7980858683586121
537,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (19 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (21 of 21).jpg,0.7977336049079895
1155,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,0.7975802421569824
392,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (16 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (4 of 21).jpg,0.7967743873596191
1151,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (12 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,0.7966604828834534
680,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (21 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (7 of 21).jpg,0.796122133731842
1463,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (22 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (28 of 37).jpg,0.7959867715835571
811,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (5 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (9 of 21).jpg,0.793759822845459
1408,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (7 of 37).jpg,0.7937339544296265
1551,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (26 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.7935422658920288
15,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (1 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (5 of 21).jpg,0.7930938005447388
1192,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (22 of 37).jpg,0.7930768132209778
1398,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (31 of 37).jpg,0.7927627563476562
1208,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (13 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.7920809984207153
765,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (4 of 21).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\BWanimation (5 of 21).jpg,0.7918683886528015
1077,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (1 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (6 of 37).jpg,0.7915300130844116
1389,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,0.79143887758255
1245,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (14 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (9 of 37).jpg,0.7914146184921265
1334,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (18 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,0.7912998199462891
1405,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (2 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (4 of 37).jpg,0.7891137599945068
1494,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (23 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (37 of 37).jpg,0.7889811396598816
1366,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (19 of 37).jpg,C:\Users\aitor\OneDrive\Escritorio\Mael Post\Mael (25 of 37).jpg,0.7883217930793762
